feature,importance
hour,0.31155867106821866
month,0.15740830760704588
day_of_week,0.03380523368991189
centreline_1142568,0.033498939731728065
centreline_30082355,0.03303734830702977
centreline_109322,0.03127639744741549
centreline_7268,0.0272689900441995
centreline_445213,0.026164815599608662
centreline_443306,0.025262735680314556
centreline_30144287,0.02305607791940639
centreline_9667095,0.01974316092097794
centreline_9667233,0.01887592956757909
centreline_30120867,0.017878559817504053
centreline_907934,0.0177998932703484
centreline_30102651,0.01724983398655283
centreline_9667114,0.01694400296842437
centreline_1142497,0.016246248357932796
centreline_6151494,0.0159255848710142
is_weekend,0.015272808718095467
centreline_908035,0.012526381525389334
centreline_111648,0.011596457323154152
centreline_30006935,0.009742338245410768
centreline_108009,0.00950133994756392
centreline_60015951,0.008894475047032249
centreline_908310,0.00855858357617276
centreline_913823,0.007146951601439343
centreline_908287,0.005392658587157971
centreline_7298,0.00485574968995028
centreline_60034060,0.004492714659681346
centreline_60036111,0.004188861540104087
centreline_30147855,0.004100790758676148
centreline_60028766,0.004044149484667048
centreline_908227,0.003984706705778291
centreline_1726,0.0038664770966269383
centreline_912302,0.003849705284770358
centreline_14013655,0.0037124407914731128
centreline_446281,0.0033805707277681884
centreline_109215,0.003081963996194507
centreline_5478971,0.0027387071709795673
centreline_912406,0.0024920111577608666
centreline_109441,0.002408833657589234
centreline_5704657,0.0023645227040665143
centreline_2893418,0.002183494291089115
centreline_8492199,0.0017565025322065304
centreline_30145777,0.0016871784242777261
centreline_1147102,0.001677921743468635
centreline_30062058,0.001674559361482363
centreline_7063031,0.001352790577553021
centreline_1146369,0.0012194806541214207
centreline_8015912,0.0012115012286950681
centreline_30091375,0.0009342033804699383
centreline_30005914,0.0007500080465296637
centreline_30091371,0.00035742890739158225
